19-Sep,7:30PM,Sat,Mumbai indians,Chennai super kings,Abu dhabi
20-Sep,7:30PM,Sun,Delhi capitals,Kings xi punjab,Dubai
21-Sep,7:30PM,Mon,Sunrisers hyderabad,Royal challengers bangalore,Dubai
22-Sep,7:30PM,Tue,Rajasthan royals,Chennai super kings,Sharjah
23-Sep,7:30PM,Wed,Kolkata knight riders,Mumbai indians,Abu dhabi
24-Sep,7:30PM,Thu,Kings xi punjab,Royal challengers bangalore,Dubai
25-Sep,7:30PM,Fri,Chennai super kings,Delhi capitals,Dubai
26-Sep,7:30PM,Sat,Kolkata knight riders,Sunrisers hyderabad,Sharjah
27-Sep,7:30PM,Sun,Rajasthan royals,Kings xi punjab,Sharjah
28-Sep,7:30PM,Mon,Royal challengers bangalore,Mumbai indians,Dubai
29-Sep,7:30PM,Tue,Delhi capitals,Sunrisers hyderabad,Abu dhabi
30-Sep,7:30PM,Wed,Rajasthan royals,Kolkata knight riders,Dubai
01-Oct,7:30PM,Thu,Kings xi punjab,Mumbai indians,Abu dhabi
02-Oct,7:30PM,Fri,Chennai super kings,Sunrisers hyderabad,Dubai
03-Oct,3:30PM,Sat,Royal challengers bangalore,Rajasthan royals,Abu dhabi
03-Oct,7:30PM,Sat,Delhi capitals,Kolkata knight riders,Sharjah
04-Oct,3:30PM,Sun,Mumbai indians,Sunrisers hyderabad,Sharjah
05-Oct,7:30PM,Mon,Royal challengers bangalore,Delhi capitals,Dubai
06-Oct,7:30PM,Tue,Mumbai indians,Rajasthan royals,Abu dhabi
07-Oct,7:30PM,Wed,Kolkata knight riders,Chennai super kings,Abu dhabi
08-Oct,7:30PM,Thu,Sunrisers hyderabad,Kings xi punjab,Dubai
09-Oct,7:30PM,Fri,Rajasthan royals,Delhi capitals,Sharjah
10-Oct,3:30PM,Sat,Kings xi punjab,Kolkata knight riders,Abu dhabi
10-Oct,7:30PM,Sat,Chennai super kings,Royal challengers bangalore,Dubai
11-Oct,3:30PM,Sun,Sunrisers hyderabad,Rajasthan royals,Dubai
11-Oct,7:30PM,Sun,Mumbai indians,Delhi capitals,Abu dhabi
12-Oct,7:30PM,Mon,Royal challengers bangalore,Kolkata knight riders,Sharjah
13-Oct,7:30PM,Tue,Sunrisers hyderabad,Chennai super kings,Dubai
14-Oct,7:30PM,Wed,Delhi capitals,Rajasthan royals,Dubai
15-Oct,7:30PM,Thu,Royal challengers,Kings xi punjab,Sharjah
16-Oct,7:30PM,Fri,Mumbai indians,Kolkata knight riders,Abu dhabi
17-Oct,3:30PM,Sat,Rajasthan royals,Royal challengers bangalore,Dubai
17-Oct,7:30PM,Sat,Delhi capitals,Chennai super kings,Sharjah
18-Oct,3:30PM,Sun,Sunrisers hyderabad,Kolkata knight riders,Abu dhabi
18-Oct,7:30PM,Sun,Mumbai indians,Kings xi punjab,Dubai
19-Oct,7:30PM,Mon,Chennai super kings,Rajasthan royals,Abu dhabi
20-Oct,7:30PM,Tue,Kings xi punjab,Delhi capitals,Dubai
21-Oct,7:30PM,Wed,Kolkata knight riders,Royal challengers bangalore,Abu dhabi
22-Oct,7:30PM,Thu,Rajasthan royals,Sunrisers hyderabad,Dubai
23-Oct,7:30PM,Fri,Chennai super kings,Mumbai indians,Sharjah
24-Oct,3:30PM,Sat,Kolkata knight riders,Delhi capitals,Abu dhabi
24-Oct,7:30PM,Sat,Kings xi punjab,Sunrisers hyderabad,Dubai
25-Oct,3:30PM,Sun,Royal challengers bangalore,Chennai super kings,Dubai
25-Oct,7:30PM,Sun,Rajasthan royals,Mumbai indians,Abu dhabi
26-Oct,7:30PM,Mon,Kolkata knight riders,Kings xi punjab,Sharjah
27-Oct,7:30PM,Tue,Sunrisers hyderabad,Delhi capitals,Dubai
28-Oct,7:30PM,Wed,Mumbai indians,Royal challengers bangalore,Abu dhabi
29-Oct,7:30PM,Thu,Chennai super kings,Kolkata knight riders,Dubai
30-Oct,7:30PM,Fri,Kings xi punjab,Rajasthan royals,Abu dhabi
31-Oct,3:30PM,Sat,Delhi capitals,Mumbai indians,Dubai
31-Oct,7:30PM,Sat,Royal challengers bangalore,Sunrisers hyderabad,Sharjah
01-Nov,3:30PM,Sun,Chennai super kings,Kings xi punjab,Abu dhabi
01-Nov,7:30PM,Sun,Kolkata knight riders,Rajasthan royals,Dubai
02-Nov,7:30PM,Mon,Delhi capitals,Royal challengers bangalore,Abu dhabi
03-Nov,7:30PM,Tue,Sunrisers hyderabad,Mumbai indians,Sharjah